year,month ,cpi,foodandbev,housing
2011,M01,221.187,222.735,217.061
2011,M02,221.898,223.734,217.443
2011,M03,223.046,225.337,217.794
2011,M04,224.093,226.18,218.186
2011,M05,224.806,227.045,218.521
2011,M06,224.806,227.603,218.808
2011,M07,225.395,228.473,219.386
2011,M08,226.106,229.577,219.802
2011,M09,226.597,230.561,220.152
2011,M10,226.75,230.776,220.447
2011,M11,227.169,230.976,220.685
2011,M12,227.223,231.392,220.966
2012,M01,227.842,232.131,221.096
2012,M02,228.329,232.103,221.299
2012,M03,228.807,232.502,221.579
2012,M04,229.187,232.934,221.992
2012,M05,228.713,233.127,222.069
2012,M06,228.524,233.624,222.319
2012,M07,228.59,233.752,222.508
2012,M08,229.918,234.108,223.031
2012,M09,231.015,234.286,223.463
2012,M10,231.638,234.694,223.949
2012,M11,231.249,235.1,224.504
2012,M12,231.221,235.521,224.757
2013,M01,231.679,235.86,225.106
2013,M02,232.937,235.903,225.58
2013,M03,232.282,236.13,225.769
2013,M04,231.797,236.574,226.299
2013,M05,231.893,236.387,226.949
2013,M06,232.445,236.912,227.324
2013,M07,232.9,237.133,227.579
2013,M08,233.456,237.407,227.911
2013,M09,233.544,237.464,228.354
2013,M10,233.669,237.693,228.584
2013,M11,234.1,237.895,229.119
2013,M12,234.719,238.133,229.623
2014,M01,235.288,238.417,230.52
2014,M02,235.547,239.247,231.084
2014,M03,236.028,240.24,232.119
2014,M04,236.468,240.995,232.014
2014,M05,236.918,242.107,232.785
2014,M06,237.231,242.345,233.117
2014,M07,237.498,242.883,233.695
2014,M08,237.46,243.505,233.928
2014,M09,237.477,244.148,234.234
2014,M10,237.43,244.5,234.656
2014,M11,236.983,245.106,235
2014,M12,236.252,245.84,235.425
2015,M01,234.747,245.764,235.735
2015,M02,235.342,246.056,236.2
2015,M03,235.976,245.685,236.602
2015,M04,236.222,245.615,237.086
2015,M05,237.001,245.886,237.21
2015,M06,237.657,246.511,237.804
2015,M07,238.034,246.733,238.334
2015,M08,238.033,247.295,238.7
2015,M09,237.498,247.984,239.236
2015,M10,237.733,248.288,239.593
2015,M11,238.017,248.075,240.001
2015,M12,237.761,247.761,240.224
2016,M01,237.652,247.967,240.673
2016,M02,237.336,248.244,241.124
2016,M03,238.08,247.699,241.587
2016,M04,238.992,247.906,242.071
2016,M05,239.557,247.575,242.833
2016,M06,240.222,247.42,243.515
2016,M07,240.101,247.406,244.224
2016,M08,240.545,247.479,244.911
2016,M09,241.176,247.528,245.755
2016,M10,241.741,247.596,246.48
2016,M11,242.026,247.525,246.985
2016,M12,242.637,247.53,247.543
2017,M01,243.618,247.9,248.164
2017,M02,244.006,248.513,248.807
2017,M03,243.892,249.02,249.098
2017,M04,244.193,249.381,249.8
2017,M05,244.004,249.711,250.408
2017,M06,244.163,249.519,250.933
2017,M07,244.243,249.937,251.21
2017,M08,245.183,250.21,252.086
2017,M09,246.435,250.587,252.603
2017,M10,246.626,250.816,253.292
2017,M11,247.284,250.996,253.798
2017,M12,247.805,251.49,254.575
2018,M01,248.859,252.116,255.117
2018,M02,249.529,252.038,255.827
2018,M03,249.577,252.154,256.508
2018,M04,250.227,252.661,257.232
2018,M05,250.792,252.634,257.894
2018,M06,251.018,252.968,258.004
2018,M07,251.214,253.365,258.594
2018,M08,251.663,253.677,259.39
2018,M09,252.182,254.103,259.582
2018,M10,252.772,254.012,260.391
2018,M11,252.594,254.732,261.054
2018,M12,252.767,255.681,262.124
2019,M01,252.561,256.302,262.46
2019,M02,253.319,256.998,263.144
2019,M03,254.277,257.374,263.951
2019,M04,255.233,257.018,264.649
2019,M05,255.296,257.523,265.129
2019,M06,255.213,257.664,265.866
2019,M07,255.802,257.836,266.527
2019,M08,256.036,258.046,266.832
2019,M09,256.43,258.575,267.574
2019,M10,257.155,259.088,267.93
2019,M11,257.879,259.624,268.444
2019,M12,258.63,260.052,268.86
2020,M01,259.127,260.858,269.689
2020,M02,259.25,261.567,270.365
2020,M03,258.076,262.239,270.321
2020,M04,256.032,265.777,270.366
2020,M05,255.802,267.464,270.785
2020,M06,257.042,268.849,271.26
2020,M07,258.352,267.824,271.942
2020,M08,259.316,268.271,272.539
2020,M09,259.997,268.354,272.895
2020,M10,260.319,269.007,273.154
2020,M11,260.911,269.066,273.806
2020,M12,262.045,270.088,274.303
2021,M01,262.639,270.525,274.435
2021,M02,263.573,270.798,275.136
2021,M03,264.847,271.083,276.028
2021,M04,266.625,272.061,277.441
2021,M05,268.404,273.142,278.625
2021,M06,270.71,275.189,279.786
2021,M07,271.965,276.845,281.076
2021,M08,272.752,278.062,282.074
2021,M09,273.942,280.26,283.496
2021,M10,276.528,282.727,285.495
2021,M11,278.824,284.68,286.923
2021,M12,280.806,286.33,288.252
2022,M01,282.542,288.611,289.925
2022,M02,284.525,291.415,291.442
2022,M03,287.467,294.049,293.498
2022,M04,288.582,296.59,295.468
2022,M05,291.299,299.751,297.911
2022,M06,295.072,302.783,300.401
2022,M07,294.94,305.859,301.896
2022,M08,295.162,308.423,304.249
2022,M09,296.421,310.391,306.271
2022,M10,297.979,312.58,307.991
2022,M11,298.708,314.067,309.309
2022,M12,298.808,315.353,311.432
2023,M01,300.456,316.972,313.783
2023,M02,301.476,318.127,315.343
2023,M03,301.643,318.276,316.34
2023,M04,302.858,318.752,317.414
2023,M05,303.316,319.515,318.159
2023,M06,304.099,319.98,319.392
2023,M07,304.615,320.574,320.599
2023,M08,306.138,321.444,321.619
2023,M09,307.374,321.902,323.299
2023,M10,307.653,322.975,324.182
2023,M11,308.087,323.296,325.457
2023,M12,308.735,323.898,326.476
2024,M01,309.794,325.014,328.362
2024,M02,311.022,325.257,329.645
2024,M03,312.107,325.455,331.013
2024,M04,313.016,325.86,331.746
2024,M05,313.14,326.306,332.654
2024,M06,313.131,327.089,333.42
2024,M07,313.566,327.565,334.521
2024,M08,314.131,328.057,335.606
2024,M09,314.851,329.075,336.524
2024,M10,315.564,329.809,337.759
2024,M11,316.449,330.809,338.894
2024,M12,317.603,331.642,339.853
2025,M01,319.086,332.84,340.995
2025,M02,319.775,333.45,342.32
2025,M03,319.615,334.859,343.292
2025,M04,320.321,334.616,344.919
2025,M05,320.58,335.489,345.867
2025,M06,321.5,336.555,346.957
2025,M07,322.132,336.718,347.713
2025,M08,323.364,338.285,348.967
2025,M09,324.368,339.115,349.516
