observation_date,PCECTPI_PC1,UNRATE
1960-01-01,1.69994,5.1
1960-04-01,1.81114,5.2
1960-07-01,1.58502,5.5
1960-10-01,1.47259,6.3
1961-01-01,1.52899,6.8
1961-04-01,0.99903,7.0
1961-07-01,0.97599,6.8
1961-10-01,0.64570,6.2
1962-01-01,0.89337,5.6
1962-04-01,1.25718,5.5
1962-07-01,1.17004,5.6
1962-10-01,1.36569,5.5
1963-01-01,1.22067,5.8
1963-04-01,1.02099,5.7
1963-07-01,1.23821,5.5
1963-10-01,1.30342,5.6
1964-01-01,1.49338,5.5
1964-04-01,1.55343,5.2
1964-07-01,1.39070,5.0
1964-10-01,1.35470,5.0
1965-01-01,1.20052,4.9
1965-04-01,1.49896,4.7
1965-07-01,1.54308,4.4
1965-10-01,1.51968,4.1
1966-01-01,1.97713,3.9
1966-04-01,2.28181,3.8
1966-07-01,2.68347,3.8
1966-10-01,3.16220,3.7
1967-01-01,2.66062,3.8
1967-04-01,2.31966,3.8
1967-07-01,2.49002,3.8
1967-10-01,2.57576,3.9
1968-01-01,3.37033,3.7
1968-04-01,3.93268,3.6
1968-07-01,4.03965,3.5
1968-10-01,4.29497,3.4
1969-01-01,4.19922,3.4
1969-04-01,4.45718,3.4
1969-07-01,4.65385,3.6
1969-10-01,4.70095,3.6
1970-01-01,4.89858,4.2
1970-04-01,4.72512,4.8
1970-07-01,4.46795,5.2
1970-10-01,4.61474,5.8
1971-01-01,4.39724,5.9
1971-04-01,4.43054,5.9
1971-07-01,4.43806,6.0
1971-10-01,3.73981,5.9
1972-01-01,3.84748,5.8
1972-04-01,3.27326,5.7
1972-07-01,3.16419,5.6
1972-10-01,3.36529,5.4
1973-01-01,3.52467,4.9
1973-04-01,4.90520,4.9
1973-07-01,5.88648,4.8
1973-10-01,7.17930,4.8
1974-01-01,9.05008,5.1
1974-04-01,10.02608,5.2
1974-07-01,10.97276,5.6
1974-10-01,11.51450,6.6
1975-01-01,10.32860,8.3
1975-04-01,8.60575,8.9
1975-07-01,7.73516,8.5
1975-10-01,6.82550,8.3
1976-01-01,6.00625,7.7
1976-04-01,5.59862,7.6
1976-07-01,5.22972,7.7
1976-10-01,5.12895,7.8
1977-01-01,5.86354,7.5
1977-04-01,6.78045,7.1
1977-07-01,6.76681,6.9
1977-10-01,6.59941,6.7
1978-01-01,6.42457,6.3
1978-04-01,6.78368,6.0
1978-07-01,7.04799,6.0
1978-10-01,7.54246,5.9
1979-01-01,7.80024,5.9
1979-04-01,8.51822,5.7
1979-07-01,9.29247,5.9
1979-10-01,9.86166,6.0
1980-01-01,11.06674,6.3
1980-04-01,10.75789,7.3
1980-07-01,10.60410,7.7
1980-10-01,10.66363,7.4
1981-01-01,10.22506,7.4
1981-04-01,9.39580,7.4
1981-07-01,8.65766,7.4
1981-10-01,7.65779,8.2
1982-01-01,6.27054,8.8
1982-04-01,5.52308,9.4
1982-07-01,5.44983,9.9
1982-10-01,5.00610,10.7
1983-01-01,4.54535,10.4
1983-04-01,4.49529,10.1
1983-07-01,4.22367,9.4
1983-10-01,3.76527,8.5
1984-01-01,4.02801,7.9
1984-04-01,4.08423,7.4
1984-07-01,3.52706,7.4
1984-10-01,3.48282,7.3
1985-01-01,3.58352,7.2
1985-04-01,3.42079,7.3
1985-07-01,3.43361,7.2
1985-10-01,3.51673,7.0
1986-01-01,3.03367,7.0
1986-04-01,2.09831,7.2
1986-07-01,1.83960,7.0
1986-10-01,1.74598,6.8
1987-01-01,1.98640,6.6
1987-04-01,3.08082,6.3
1987-07-01,3.50935,6.0
1987-10-01,3.77523,5.8
1988-01-01,3.61499,5.7
1988-04-01,3.75732,5.5
1988-07-01,4.04998,5.5
1988-10-01,4.20217,5.3
1989-01-01,4.57335,5.2
1989-04-01,4.82407,5.2
1989-07-01,4.15859,5.2
1989-10-01,3.92691,5.4
1990-01-01,4.23506,5.3
1990-04-01,3.78345,5.3
1990-07-01,4.48641,5.7
1990-10-01,5.04322,6.1
1991-01-01,4.08680,6.6
1991-04-01,3.71294,6.8
1991-07-01,3.10716,6.9
1991-10-01,2.49992,7.1
1992-01-01,2.60286,7.4
1992-04-01,2.72361,7.6
1992-07-01,2.68102,7.6
1992-10-01,2.65207,7.4
1993-01-01,2.62123,7.1
1993-04-01,2.62925,7.1
1993-07-01,2.42081,6.8
1993-10-01,2.29788,6.6
1994-01-01,2.05614,6.6
1994-04-01,1.94069,6.2
1994-07-01,2.22853,6.0
1994-10-01,2.11961,5.6
1995-01-01,2.25192,5.5
1995-04-01,2.27723,5.7
1995-07-01,1.96376,5.7
1995-10-01,1.93365,5.6
1996-01-01,2.00158,5.5
1996-04-01,2.08903,5.5
1996-07-01,2.10705,5.3
1996-10-01,2.35289,5.3
1997-01-01,2.23638,5.2
1997-04-01,1.81168,5.0
1997-07-01,1.64681,4.9
1997-10-01,1.27616,4.7
1998-01-01,0.83848,4.6
1998-04-01,0.76810,4.4
1998-07-01,0.81432,4.5
1998-10-01,0.76227,4.4
1999-01-01,0.95454,4.3
1999-04-01,1.34523,4.3
1999-07-01,1.58875,4.2
1999-10-01,1.93687,4.1
2000-01-01,2.56198,4.0
2000-04-01,2.46810,3.9
2000-07-01,2.56403,4.0
2000-10-01,2.52103,3.9
2001-01-01,2.44882,4.2
2001-04-01,2.43992,4.4
2001-07-01,1.83544,4.8
2001-10-01,1.30540,5.5
2002-01-01,0.76254,5.7
2002-04-01,1.03764,5.8
2002-07-01,1.50926,5.7
2002-10-01,1.94082,5.9
2003-01-01,2.51376,5.9
2003-04-01,1.86092,6.1
2003-07-01,2.00421,6.1
2003-10-01,2.03001,5.8
2004-01-01,2.03655,5.7
2004-04-01,2.61984,5.6
2004-07-01,2.44899,5.4
2004-10-01,2.81938,5.4
2005-01-01,2.62579,5.3
2005-04-01,2.58311,5.1
2005-07-01,3.18435,5.0
2005-10-01,3.12388,5.0
2006-01-01,3.06022,4.7
2006-04-01,3.31292,4.6
2006-07-01,2.94431,4.6
2006-10-01,1.96300,4.4
2007-01-01,2.36304,4.5
2007-04-01,2.33418,4.5
2007-07-01,2.17744,4.7
2007-10-01,3.38591,4.8
2008-01-01,3.28399,5.0
2008-04-01,3.41157,5.3
2008-07-01,3.92688,6.0
2008-10-01,1.23954,6.9
2009-01-01,-0.25676,8.3
2009-04-01,-0.82559,9.3
2009-07-01,-1.19595,9.6
2009-10-01,1.18156,9.9
2010-01-01,2.26353,9.8
2010-04-01,2.01622,9.6
2010-07-01,1.51219,9.5
2010-10-01,1.38039,9.5
2011-01-01,1.83861,9.0
2011-04-01,2.68056,9.1
2011-07-01,2.95834,9.0
2011-10-01,2.64083,8.6
2012-01-01,2.45985,8.3
2012-04-01,1.70696,8.2
2012-07-01,1.53273,8.0
2012-10-01,1.76625,7.8
2013-01-01,1.45068,7.7
2013-04-01,1.25847,7.5
2013-07-01,1.38062,7.2
2013-10-01,1.18580,6.9
2014-01-01,1.29584,6.7
2014-04-01,1.69724,6.2
2014-07-01,1.55681,6.1
2014-10-01,1.05035,5.7
2015-01-01,0.13754,5.5
2015-04-01,0.18841,5.4
2015-07-01,0.17558,5.1
2015-10-01,0.23133,5.0
2016-01-01,0.73222,4.9
2016-04-01,0.86834,4.9
2016-07-01,0.95424,4.9
2016-10-01,1.49451,4.8
2017-01-01,2.03613,4.6
2017-04-01,1.59642,4.4
2017-07-01,1.60413,4.3
2017-10-01,1.74740,4.2
2018-01-01,1.86488,4.0
2018-04-01,2.19406,3.9
2018-07-01,2.17635,3.8
2018-10-01,1.95280,3.8
2019-01-01,1.45098,3.9
2019-04-01,1.48560,3.6
2019-07-01,1.38968,3.6
